name,team, played_matches,most_recent
Luca Koleosho,Espanyol,3,False
Luca Koleosho,Paris FC,16,True
Luca Netz,Nottingham Forest,7,True
Luca Netz,Borussia M'gladbach,15,False
Luis Guilherme,Sporting CP,13,True
Luis Guilherme,West Ham United,5,False
Luis Vazquez,RSC Anderlecht,14,
Luis Vazquez,Getafe,17,
Makan Aiko,Tondela,18,
Makan Aiko,Fortuna Sittard,13,
Malick Mbaye,Metz,5,
Malick Mbaye,SV Zulte Waregem,6,
Mamadou Sarr,RC Strasbourg,15,True
Mamadou Sarr,Chelsea,3,False
Manor Solomon,Villarreal,6,False
Manor Solomon,Fiorentina,16,True
Marshall Munetsi,Paris FC,15,False
Marshall Munetsi,Wolverhampton,13,True
Martin Satriano,Getafe,18,True
Martin Satriano,Olympique Lyonnais,11,False
Mathias Rasmussen,Royale Union Saint-Gilloise,16,False
Mathias Rasmussen,FC St. Pauli,13,True
Matias Vecino,Celta Vigo,6,True
Matias Vecino,Lazio,13,False
Matt O'Riley,Olympique de Marseille,15,True
Matt O'Riley,Brighton & Hove Albion,6,False
Merlin Rohl,Everton,16,
Merlin Rohl,SC Freiburg,2,
Mikayil Faye,Cremonese,8,True
Mikayil Faye,Stade Rennais,1,False
Mohamed Bamba,Gil Vicente,4,
Mohamed Bamba,Lorient,18,
Mohamed Kaba,Nantes,13,True
Mohamed Kaba,Lecce,15,False
Moussa Diarra,RSC Anderlecht,12,
Moussa Diarra,Deportivo Alavés,3,
Nayef Aguerd,West Ham United,2,False
Nayef Aguerd,Olympique de Marseille,16,True
Neal Maupay,Sevilla,12,True
Neal Maupay,Olympique de Marseille,1,False
Nick Woltemade,Newcastle United,33,True
Nick Woltemade,VfB Stuttgart,1,False
Niclas Fullkrug,AC Milan,20,True
Niclas Fullkrug,West Ham United,8,False
Nico Gonzalez,Juventus,2,False
Nico Gonzalez,Atlético Madrid,24,True
Nikola Stulic,RC Sporting Charleroi,3,False
Nikola Stulic,Lecce,34,True
Nilson Angulo,Sunderland,8,True
Nilson Angulo,RSC Anderlecht,22,False
Odsonne Edouard,Crystal Palace,1,False
Odsonne Edouard,RC Lens,29,True
Oleksandr Zinchenko,AFC Ajax,2,True
Oleksandr Zinchenko,Nottingham Forest,5,False
Omri Gandelman,Lecce,19,True
Omri Gandelman,KAA Gent,18,False
Oumar Ngom,CF Estrela Amadora,11,False
Oumar Ngom,Lecce,15,True
